,storyID,url,title,country,dialect,speaker,utterance
144,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Empecé a tener distancias de un metro con… con mi familia. Y me recluí en… en un lado de la casa, en una habitación, para evitar cualquier contagio en caso de que fuera coronavirus."
146,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,Jaime se aisló en una parte del loft. 
149,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Rosi]: ,"La cosa es que nosotros íbamos progresivamente oyendo toser más, más a Jaime y progresivamente verle peor. "
151,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Rosi]: ,"Y mucho más tirado en la cama, que no se podía mover, hasta que un día ya se pasó… lo pasó todo durmiendo, ¿ya? Y a la vez todo el puto día escuchando la radio donde ibas viendo, como dice la ostia, que esto es verdad. Y aquí esto cada día flipando más."
153,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"De modo que al día siete de… de tener los síntomas ya no podía hablar, ni siquiera normalmente, porque la tos me… no me dejaba… no me dejaba hablar."
155,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Y vieron que la tenía en 90, que es muy, muy baja para una persona de mi edad. Y entonces ya me recomendaron que podían llamar a la ambulancia ahí mismo o podía volver a casa y esperar 24 horas."
157,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Que eran siempre: “No, hay personas que lo necesitan más”."
159,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Y este tipo de pensamiento “responsable”, entre comillas, pero también un poco negacionista, ¿no?, de mis propios síntomas. Decidí no aceptar la ambulancia en ese momento y volver a casa. Y fue caminando las cinco calles que separan ese centro médico ambulatorio hasta mi casa que me di cuenta de que algo estaba realmente mal."
161,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,Se demoró cinco horas en llegar. 
162,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,Durante esas cinco horas yo estaba tumbado. No podía ya moverme demasiado y empezaba a sentirme realmente angustiado.
170,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Lo más terrible fue ver cómo las ambulancias no dejaban de llegar. Llegaban al ritmo de unas… una cada media hora. Llegaban, dejaban a un paciente y se volvían a ir."
172,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,Horas que fui contando evidentemente desde la primera.
175,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Para mí era difícil porque mientras más pasaban las horas notaba su… su preocupación que aumentaba. Y era muy duro ver pasar las horas. Contar las horas, ver que estabas 10 horas, 12 horas, 15 horas, 20 horas y seguíamos ahí en las sillas."
177,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Era un poco difícil porque las tomas de… de electricidad para cargar los móviles, evidentemente todos estábamos tratando de… de cargarlos al mismo tiempo. Se nos acababa la batería, cargamos un poco. "
179,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"No era en realidad una cuestión de… de competencia, ni de… ni de lucha. Era más bien de solidaridad, ¿no? Era como de: “Venga, yo voy a cargar un poco después de cargar tú». Y nadie se quedaba con el móvil enchufado ahí todo el tiempo, sino iba… íbamos rotándonos de una manera espontánea y casi sin decirnos nada, ¿no?"
181,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Coco no desarrolló síntomas tan fuertes como los de su papá, entonces no se tuvo que hospitalizar. Solo se mantuvo en aislamiento. Pero Gaby y Rosi se la pasaban esperando noticias de Jaime, sin poder dormir, desesperadas."
186,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Para el segundo día que estuve ya ahí esperando, había gente ya en los pasillos. Había una gente en el suelo, sentada, tumbados en las sillas. "
188,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Y me alucinaba la entereza con la que se mantenían ahí en la silla. Yo, que tengo 46 años, sentía el cuerpo destrozado y a veces la ansiedad me… me… me ganaba. Sentía que no estaba razonando bien ya, más o menos cuando llevábamos unas 20 horas ahí. Y que entre… entre la enfermedad y… y la ansiedad y el cansancio físico, todo eso me estaba enloqueciendo. Pero veía a estas mujeres tan… estoicamente, tan fuertes, tan valientes, aguantar el tipo sin pedir nada a nadie. Y era como… como súper fuerte para mí."
190,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Yo iba a rechazar la… la habitación. Me iba a plantar, iba a decirle a los doctores: “No voy a subir a una habitación. Por favor, que suba la persona que está a mi costado”, y tal."
193,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Entonces, mi última idea, cuando ya estaba en las últimas y no aguantaba más, era: “Si esta señora no sube, yo no subo”, ¿no? Para mi suerte, y para aliviar un poco mi sensación de culpa, en un momento en que yo cabeceo un poco, abro los ojos y ya no estaba esta señora, ¿no?"
195,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"No rechazo la cama. Me desplomo en una silla de ruedas y me llevan. Pero, todo… nada de esto ocurre sin una sensación de culpa brutal. No podía ni mirar hacia atrás porque sentía que estaban ahí todavía ancianos y ancianas que habían llegado después que yo. Pero que… pero que eso, ¿no?, que merecían la cama más que yo. Que tenían que ser prioritarios. Este tipo de pensamientos me torturó muchísimo mientras… mientras subía a la… a la planta."
200,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Que, bueno, en esos días que compartes ahí te… empiezas a conocerte y a contarte la vida. Lo que hacíamos era ver las noticias sin parar, ¿no? "
202,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Periodista 1]: ,España cumple una semana de confinamiento y las cifras del coronavirus siguen escalando. 
203,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Periodista 2]: ,"España comienza a vivir sus peores días de esta crisis, con el número de fallecidos duplicándose cada día. "
204,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Periodista 3]: ,"En Madrid, la región más afectada, los hospitales están desbordados con las UCIs al doble de su capacidad. "
205,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Veíamos que se hablaba del colapso de los hospitales, que se hablaba de las experiencias que nosotros mismos acabábamos de padecer y… y era una sensación extraña. Y no voy a decir que reconfortante, pero sí… sí, por lo menos sentías como que la atención mediática y de todos puesta en… en lo que te estaba pasando a ti, ¿no?"
207,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"A veces entraban las enfermeras, que para entrar tienen que ponerse un… un traje especial, y a veces no tenían esos trajes especiales y tendrían que poner unas bolsas de plástico de basura para poder entrar. Todo esto era muy penoso de ver. Y ellas mismas a veces se desarmaban y nos decían que la primera vez que se tuvieron que poner una bolsa de basura habían llorado porque se daban cuenta de la escasez del material."
209,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"“No veaís tanto eso porque os vais a deprimir. Tenéis que… que estar con mucho ánimo vosotros, porque si vosotros no tenéis ánimo y no nos recuperáis todo nuestro trabajo, no va a servir para nada”. Y así trataban de darnos ánimo, nos contaban… nos hacían bromas. En fin, son… es un trabajo sacrificado y noble el que… el que hicieron todos los sanitarios ahí."
211,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Cuando le dieron de alta, todavía tenía algunos síntomas y algunas secuelas. En una situación normal, lo hubieran dejado en el hospital hasta que terminara de recuperarse. Pero dada la emergencia que se vivía en Madrid en esos días, necesitaban la cama para otro paciente. "
219,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"A veces abrimos una puerta para poder estar… tener la sensación de estar juntos, pero con mascarillas y manteniendo un par de metros de distancia."
250,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Hace casi un mes que no abrazo a mi hijo pequeño, bueno, eso es muy difícil, la verdad. Incluso con… con Coco que estamos juntos en este lado de la casa, tenemos miedo de tener un contacto directo, de abrazarnos o de besarnos, porque porque leemos y vemos cosas de recaídas. Y esto es muy, muy difícil. Preferimos mantener todavía esa… esa distancia. "
252,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Esta historia fue escrita por Camila Segura y por mí, con producción de Luis Fernando Vargas y Victoria Estrada. La música y el diseño de sonido son de Andrés Azpiri y Rémy Lozano. Andrea López-Cruzado hizo el "
254,good-1,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Radio Ambulante es un podcast de Radio Ambulante Estudios, y se produce y se mezcla en el programa Hindenburg PRO. Este episodio es el último de la temporada, pero quiero recordarles que tenemos otro podcast: un podcast de noticias que sale cada viernes. Se llama El hilo. Búscalo en elhilo.audio."
264,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario Cuautencos]:," Yo pensé que eran cuetes de los pueblos aledaños, ¿no?"
266,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]:, Cómo que se movía la… la tierra. Hacía: ¡zaz! 
268,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]:,"San Lorenzo es una comunidad pequeña a las afueras de la ciudad de Puebla. Tomas la carretera que te lleva hacia la salida al noroeste de la ciudad, pasas algunas zonas industriales y en pocos minutos te encuentras en un lugar más rural: planicies verdes, con mucho sol, atravesadas por más carreteras que conectan los varios pueblos de la región. "
270,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"La mayoría cultivamos, este, lo que es maíz y calabaza, nada más. Y haba. "
272,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"A veces se hacían dos o tres horas porque echaban… y luego como cada cinco minutos echaban uno y otro, y otro, y otro. "
274,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"Las nubes estaban bien negras, negras, así ya pa’ llover y empezaban a tronar: ¡zas! ¡zas! Y cuando veíamos, las nubes se empezaban a abrir. Y cuando vimos ya… ya no llovió. Ya se fue… se fueron las nubes. "
276,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"Estela Ramírez vive en San Francisco Ocotlán, un pueblo muy cerca de San Lorenzo, y ella también empezó a notar más o menos al mismo tiempo la conexión entre las explosiones y la lluvia."
277,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Estela Ramírez]:," Porque ya las aguas, este, ya anunciaban. Y incluso hasta metíamos la ropa, juntábamos, este, nuestros pollitos y todo ya, porque va a llover. "
279,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Estela]:," Tenemos unos doce árboles y amanecen ya tiraditos ahí los pajaritos muertos: seis, ocho. Una vez contamos hasta 16. "
281,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Estela]:,Nuestra editora Victoria Estrada nos cuenta.
282,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria Estrada]: ,"La zona donde están San Lorenzo y Ocotlán, al noroeste de Puebla, es muy conocida además por otra cosa: ahí está una de las plantas de ensamblaje más grandes de la Volkswagen fuera de Europa. Es un terreno de 300 hectáreas y queda muy cerca de donde viven personas como Nazario. "
283,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,Usted puede ver que yo estoy cerca de aquí de Volkswagen. Estoy atrasito de Volkswagen.
284,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,La planta se construyó hace más de 50 años. 
285,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]:," Anteriormente, cuando yo, este, llegué a esta zona solamente estaba Volkswagen y yo. No había nada. Casas arriba solamente habían tres."
286,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,Ahora ya se ve un parque industrial y un periférico que conecta con la ciudad. Ha pasado lo que en muchos lados: las ciudades crecen y empiezan a anexar las zonas que antes eran rurales. 
287,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]:,Pronto se empezaron a correr rumores que explicaban de dónde venían esas explosiones. Él es Gerardo Pérez. Es ingeniero civil y vive en Ocotlán.
288,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Gerardo Pérez]:," Me dijeron: “Oye, Gerardo, la Volkswagen echa cuetes para que no llueva”. Así, me lo comentaron."
289,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"La información de que las explosiones parecían venir de la Volkswagen empezó a correr de voz en voz y por grupos de chats. Y con esos rumores llegó algo más: que no eran cohetes ni bombas lo que estaban tirando, sino algo llamado “cañones antigranizo”."
290,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Gerardo]: ,"Entonces yo no sabía nada de los cañones antigranizo. O sea, no sabía nada del tema. Entonces, nos dimos a la tarea de investigar."
291,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"Gracias a Dios, pues, tenemos el internet y pues las personas a veces nos… nos… nos tenemos que meter a eso para, pues, documentarnos, ¿no?"
292,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"No era mucha la información que había, pero básicamente se enteraron que esos cañones ya habían causado conflictos en otras partes donde se usaban, pues se decía que detenían el granizo y la lluvia. Los vecinos de la Volkswagen no sabían por qué la empresa quería que no granizara, ni menos por qué querían detener la lluvia, que era lo que parecía que estaba pasando."
293,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"Y aunque se llaman “cañones”, no son lo que uno se imaginaría: esos cañones negros de guerra que podrían aparecer en una película o serie ambientada en el siglo XVIII. Lo que ellos alcanzaban a ver a lo lejos eran unas estructuras más parecidas a una corneta metálica de unos seis metros de alto que apuntaba hacia el cielo. "
294,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"La falta de lluvia se fue prolongando por varias semanas y eso estaba afectando sus cultivos, pero nadie de la empresa se había pronunciado. Así que entre varios vecinos se reunieron y decidieron hablar con las autoridades municipales para discutir el uso de los cañones. Formaron una comisión, reunieron la información que habían sacado de internet y se la entregaron al presidente auxiliar del municipio y a los representantes de la Comisión Nacional del Agua. Pero les daban largas, los ignoraban y las respuestas no llegaban."
295,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"Entonces, este, pues nosotros nos… nos indignamos. Lo… por, le digo, por lo que nos estaba haciendo Volkswagen y tuvimos que, pues, tomar cartas en el asunto porque las autoridades se hacen de la vista gorda y no quieren hacer nada por… porque se nos haga justicia."
296,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,Así que los vecinos decidieron hacer algo para que tanto la empresa como las autoridades les prestaran atención. 
298,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Periodista]: ,"Pobladores de los alrededores del parque industrial FINSA cerraron el camino a San Lorenzo Almecatla. Están en contra de los cañones antigranizo que compró y que está utilizando la empresa Volkswagen. Argumenta que su uso ha provocado que ya no llueva en la zona, situación que está dañando los cultivos."
299,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,El 1 de junio de 2018 un grupo de unos 200 vecinos bloqueó la carretera y uno de los accesos a la planta de Volkswagen. Formaron una barrera para impedir el paso de los vehículos y llevaban carteles que decían “Por el agua” y “No cañones antigranizo”.
300,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Periodista]: , Los vecinos declararon lo que buscaban ante los medios.
302,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Mujer]: ,"Nuestras peticiones son que quiten los cañones antigranizo definitivamente y que si los vuelven a utilizar vamos a volver a cerrar, que hagan el pa… el pago económico por pérdida de cosechas en general."
303,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"Ese día el bloqueo de la carretera y del acceso a la planta de Volkswagen duró cinco horas. Un representante de la empresa salió a dar una declaración donde admitía que sí estaban usando esos “cañones antigranizo”, pero pidió que se creara una mesa de diálogo entre los vecinos, las autoridades y Volkswagen para explicar cómo funcionaban."
304,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Mujer]: ,Este es Nazario otra vez.
305,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"Sí, ellos nos decían que… que los anti… los cañones antigranizo no le hacían daño al campesino, que era, este, pura superstición de nosotros y que no… que ignorábamos cuál eran la… el efecto que… que producían."
306,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,Y además decían que tenían los permisos necesarios para usar los cañones. Así que no dejarían de dispararlos.
307,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Nazario]: ,"Aquí hagamos una pausa para explicar cómo funcionan estos cañones. Es un tema complejo así que vamos por partes. Los cañones que estaba usando la Volkswagen los habían comprado de una empresa española llamada Sociedad Protección Anti Granizo, o SPAG por sus siglas. "
308,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"Este es David Ollivier, el director general de SPAG, describiendo para un canal de televisión cómo es que, según ellos, funcionan estos cañones. "
311,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"Según la SPAG la explosión produce ondas de choque, o sea, que van más rápido que la velocidad del sonido local. En su página web tienen un video promocional donde se supone que explican cómo funciona. Es puro dibujito, en realidad. "
313,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"Lo importante es que, según esta explicación, las ondas no afectan la caída de lluvia."
315,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"Ni Volkswagen ni la SPAG han revelado cuál es el precio de los cañones que se instalaron en la armadora, pero se ha reportado que les pudo haber costado más de 1 millón de pesos —unos 64 mil dólares, al cambio de la época—. Es bastante menos de lo que cuestan otras alternativas, como los seguros por las pérdidas que pueda causar el granizo o las mallas antigranizo. Por ejemplo, para instalar la malla, se reportó que Volkswagen necesitaría pagar una licencia al municipio de más de 4 millones de pesos —más de 200 mil dólares, en ese entonces— y a eso añadir el costo de la malla y su instalación. "
317,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"Esa primera protesta no tuvo mucho eco. Los campesinos reportaron que la Volkswagen siguió usando los cañones durante junio y julio del 2018. Pero a los vecinos de San Lorenzo y Ocotlán, se le unieron productores de otros pueblos vecinos, como Canoa, San Miguel Espejo, Xonacatepec, Aparicio, Acajete,Tepatlaxco y la Junta Auxiliar de la Resurrección."
319,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,"Como respuesta, el secretario estatal de Desarrollo Rural, Sustentabilidad y Ordenamiento Territorial anunció que la Comisión Nacional del Agua había descartado que los cañones tuvieran efectos negativos, pero aun así el gobierno de Puebla le había pedido a la Volkswagen que dejaran de usarlos hasta que se determinara si realmente habían tenido algo que ver con la falta de lluvia en la zona. "
321,good-2,https://radioambulante.org/transcripcion/disparos-al-cielo-transcripcion,['disparos-al-cielo-transcripcion'],México,Mexican,[Victoria]: ,Pero los cañones seguían retumbando. 
