,target,source,dialect,region,speaker,utterance
592,False,childes,Spain,Spain,INV-DZIZ,bueno Dani (.) me cuentas un cuento ?
597,False,childes,Spain,Spain,INV-DZIZ,cuéntame el de Blancanieves (.) vida !
601,False,childes,Spain,Spain,INV-DZIZ,aaay !
614,False,childes,Spain,Spain,INV-DZIZ,un bo@c ?
615,False,childes,Spain,Spain,INV-DZIZ,un palo ?
632,False,childes,Spain,Spain,INV-DZIZ,tienes ?
636,False,childes,Spain,Spain,INV-DZIZ,www .
641,False,childes,Spain,Spain,INV-DZIZ,www .
645,False,childes,Spain,Spain,INV-DZIZ,uy !
648,False,childes,Spain,Spain,INV-DZIZ,claro (.) juegas con todo .
654,False,childes,Spain,Spain,INV-DZIZ,te gustan mis juguetes ?
669,False,childes,Spain,Spain,INV-DZIZ,un perro (.) cómo hacen los perros ?
672,False,childes,Spain,Spain,INV-DZIZ,sí .
675,False,childes,Spain,Spain,INV-DZIZ,marrón (.) y es muy bueno .
684,False,childes,Spain,Spain,INV-DZIZ,que te puedes hacer daño si caes .
692,False,childes,Spain,Spain,INV-DZIZ,sí .
694,False,childes,Spain,Spain,INV-DZIZ,bueno (.) a_ver .
699,False,childes,Spain,Spain,INV-DZIZ,www .
700,False,childes,Spain,Spain,INV-DZIZ,uy (.) ya sé cuál quieres .
703,False,childes,Spain,Spain,INV-DZIZ,cuéntame que hiciste en el cumpleaños (.) que si no no te dejo el animal de muchos colores [= muñeco] .
704,False,childes,Spain,Spain,INV-DZIZ,a_ver (.) lo pasaste bien en el cumpleaños de tu primo ?
709,False,childes,Spain,Spain,INV-DZIZ,www .
712,False,childes,Spain,Spain,INV-DZIZ,cantásteis ?
714,False,childes,Spain,Spain,INV-DZIZ,y los demás niños ?
718,False,childes,Spain,Spain,INV-DZIZ,ah (.) la canción de Navidad ?
730,False,childes,Spain,Spain,INV-DZIZ,oye no le pegues al dinosaurio !
735,False,childes,Spain,Spain,INV-DZIZ,bueno a_ver cuéntame más cosas del cumpleaños (.) tú le llevaste un regalo a tu primo ?
756,False,childes,Spain,Spain,INV-DZIZ,era malo ?
761,False,childes,Spain,Spain,INV-DZIZ,vaya !
762,False,childes,Spain,Spain,INV-DZIZ,pero los médicos no son malos .
765,False,childes,Spain,Spain,INV-DZIZ,eres poli [= policia] ?
767,False,childes,Spain,Spain,INV-DZIZ,por qué ?
771,False,childes,Spain,Spain,INV-DZIZ,luego te escuchas (.) vale ?
778,False,childes,Spain,Spain,INV-DZIZ,sí .
780,False,childes,Spain,Spain,INV-DZIZ,que más ?
781,False,childes,Spain,Spain,INV-DZIZ,que más ?
782,False,childes,Spain,Spain,INV-DZIZ,eso son picos .
788,False,childes,Spain,Spain,INV-DZIZ,eh ?
790,False,childes,Spain,Spain,INV-DZIZ,son verdes .
797,False,childes,Spain,Spain,INV-DZIZ,es malo ?
808,False,childes,Spain,Spain,INV-DZIZ,no (.) no aprietes los botones Dani .
809,False,childes,Spain,Spain,INV-DZIZ,no son malas .
812,False,childes,Spain,Spain,INV-DZIZ,hombre (.) no es comoéesta (.) es más grande la de papá y mamá .
816,False,childes,Spain,Spain,INV-DZIZ,pa qué ?
817,False,childes,Spain,Spain,INV-DZIZ,para qué quieres la espada ?
819,False,childes,Spain,Spain,INV-DZIZ,así !
821,False,childes,Spain,Spain,INV-DZIZ,eh ?
822,False,childes,Spain,Spain,INV-DZIZ,sí (.) hace frío en la calle ?
824,False,childes,Spain,Spain,INV-DZIZ,no hace sol .
843,False,childes,Spain,Spain,INV-DZIZ,yo soy mala ?
845,False,childes,Spain,Spain,INV-DZIZ,por qué te hago hablar ?
847,False,childes,Spain,Spain,INV-DZIZ,pero si siempre estas hablando Dani !
857,False,childes,Spain,Spain,INV-DZIZ,no hace daño (.) mira (.) es buena .
859,False,childes,Spain,Spain,INV-DZIZ,no (.) escúchame (.) cuando acabemos de hablar vas a escuchar tu voz .
861,False,childes,Spain,Spain,INV-DZIZ,además no soy mala (.) cuando llegamos a casa que te enseñé ?
865,False,childes,Spain,Spain,INV-DZIZ,la tortuga (.) muy bien (.) y después ?
868,False,childes,Spain,Spain,INV-DZIZ,cómo te saludó ?
869,False,childes,Spain,Spain,INV-DZIZ,ah (.) te olió ?
875,False,childes,Spain,Spain,INV-DZIZ,eh ?
879,False,childes,Spain,Spain,INV-DZIZ,con la moto (.) claro (.) la que te van a comprar .
880,False,childes,Spain,Spain,INV-DZIZ,una moto de poli ?
881,False,childes,Spain,Spain,INV-DZIZ,qué guapa !
887,False,childes,Spain,Spain,INV-DZIZ,eh ?
896,False,childes,Spain,Spain,INV-DZIZ,bueno (.) vale .
900,False,childes,Spain,Spain,INV-DZIZ,vale .
904,False,childes,Spain,Spain,INV-DZIZ,me lo cuentas ?
920,False,childes,Spain,Spain,INV-DZIZ,y luego ?
924,False,childes,Spain,Spain,INV-DZIZ,y qué pasó ?
925,False,childes,Spain,Spain,INV-DZIZ,quién ?
930,False,childes,Spain,Spain,INV-DZIZ,al lobo ?
931,False,childes,Spain,Spain,INV-DZIZ,muy bien (.) y te gusta es cuento .
940,False,childes,Spain,Spain,INV-DZIZ,pero a qué (.) cuéntame tú cosas .
942,False,childes,Spain,Spain,INV-DZIZ,y no hay tarta ?
946,False,childes,Spain,Spain,INV-DZIZ,cuántas velas se ponen ?
948,False,childes,Spain,Spain,INV-DZIZ,y te regalan algo ?
954,False,childes,Spain,Spain,INV-DZIZ,y hay muchos niños ?
958,False,childes,Spain,Spain,INV-DZIZ,vengo mañana a verte y me lo acabas de contar ?
960,False,childes,Spain,Spain,INV-DZIZ,me cuentas lo que te regalaron en tu cumpleaños ?
964,False,childes,Spain,Spain,INV-DZIZ,lo que tú quieras .
966,False,childes,Spain,Spain,INV-DZIZ,y te gustan las bolsas que te dan en los cumpleaños ?
972,False,childes,Spain,Spain,INV-DZIZ,y cómo se adornan las mesas en un cumpleaños ?
980,False,childes,Spain,Spain,INV-DZIZ,sí .
981,False,childes,Spain,Spain,INV-DZIZ,sí (.) a_ver (.) cómo fue la fiesta de tu hermana .
982,False,childes,Spain,Spain,INV-DZIZ,no quieres hablar más de cumpleaños ?
990,False,childes,Spain,Spain,INV-DZIZ,qué te mete un palo ?
992,False,childes,Spain,Spain,INV-DZIZ,los oídos .
994,False,childes,Spain,Spain,INV-DZIZ,ah (.) y van muchos niños al médico ?
1001,False,childes,Spain,Spain,INV-DZIZ,qué te regala ?
1002,False,childes,Spain,Spain,INV-DZIZ,sí (.) te gustan los palos de Julia ?
1003,False,childes,Spain,Spain,INV-DZIZ,y la consulta de Julia como es (.) qué hay ?
1007,False,childes,Spain,Spain,INV-DZIZ,libros ?
1016,False,childes,Spain,Spain,INV-DZIZ,no te gusta Julia ?
1017,False,childes,Spain,Spain,INV-DZIZ,vas mucho al médico ?
1018,False,childes,Spain,Spain,INV-DZIZ,tienes miedo al médico ?
1022,False,childes,Spain,Spain,INV-DZIZ,qué le hacen ?
1027,False,childes,Spain,Spain,INV-DZIZ,dímelo tú .
1030,False,childes,Spain,Spain,INV-DZIZ,quién estaba malito en casa ?
1033,False,childes,Spain,Spain,INV-DZIZ,cómo ?
1039,False,childes,Spain,Spain,INV-DZIZ,de qué (.) qué tienen ?
1048,False,childes,Spain,Spain,INV-DZIZ,a quién ?
1051,False,childes,Spain,Spain,INV-DZIZ,dónde ?
1062,False,childes,Spain,Spain,INV-DZIZ,y luego .
1065,False,childes,Spain,Spain,INV-DZIZ,y qué pasó ?
1073,False,childes,Spain,Spain,INV-DZIZ,no (.) cuántos ?
1079,False,childes,Spain,Spain,INV-DZIZ,qué piden (.) qué toman las mamás ?
1080,False,childes,Spain,Spain,INV-DZIZ,qué comen ?
1082,False,childes,Spain,Spain,INV-DZIZ,sí anda (.) tomará café .
1084,False,childes,Spain,Spain,INV-DZIZ,y por qué ?
1086,False,childes,Spain,Spain,INV-DZIZ,un poco más ?
1099,False,childes,Spain,Spain,INV-DZIZ,y cuando vas al médico (.) hay otros niños ?
1100,False,childes,Spain,Spain,INV-DZIZ,y qué hacen allí los otros niños ?
1104,False,childes,Spain,Spain,INV-DZIZ,qué más ?
1107,False,childes,Spain,Spain,INV-DZIZ,cómo las toma ?
1110,False,childes,Spain,Spain,INV-DZIZ,espera (.) cuándo le ayudas ?
1116,False,childes,Spain,Spain,INV-DZIZ,bueno vale (.) ya está .
1120,False,childes,Spain,Spain,INV-DZIZ,el de Caperucita se sabe María_Eugenia .
1124,False,childes,Spain,Spain,INV-DZIZ,cuál ?
1126,False,childes,Spain,Spain,INV-DZIZ,canta la canción (.) a_ver cómo es !
1128,False,childes,Spain,Spain,INV-DZIZ,no te acuerdas del principio ?
1130,False,childes,Spain,Spain,INV-DZIZ,no quieres cantar ?
1131,False,childes,Spain,Spain,INV-DZIZ,entonces (.) cuéntame un cuento .
1132,False,childes,Spain,Spain,INV-DZIZ,te sabes el de Caperucita_Roja ?
1150,False,childes,Spain,Spain,INV-DZIZ,cuidao [/] cuidao con el libro .
1151,False,childes,Spain,Spain,INV-DZIZ,eso (.) yo creo que es (.) tú que crees ?
1153,False,childes,Spain,Spain,INV-DZIZ,y ésta (.) qué será ?
1154,False,childes,Spain,Spain,INV-DZIZ,ay [/] ay (.) cuidado .
1155,False,childes,Spain,Spain,INV-DZIZ,pero ahora hay otra cosa distinta no (.) a_ver (.) hay algo distinto ?
1156,False,childes,Spain,Spain,INV-DZIZ,qué hay ?
1158,False,childes,Spain,Spain,INV-DZIZ,anda que tiene (.) cuántas uñas (.) mira .
1159,False,childes,Spain,Spain,INV-DZIZ,tú qué crees que es ?
1176,False,childes,Spain,Spain,INV-DZIZ,oh !
1184,False,childes,Spain,Spain,INV-DZIZ,están durmiendo no (.) o qué hacen ?
1188,False,childes,Spain,Spain,INV-DZIZ,está en su habitación otra vez .
1194,False,childes,Spain,Spain,INV-DZIZ,a_ver .
1198,False,childes,Spain,Spain,INV-DZIZ,aquí (.) cuidao con las hojas que el libro no es mío .
1204,False,childes,Spain,Spain,INV-DZIZ,qué va (.) y esto ?
1215,False,childes,Spain,Spain,INV-DZIZ,mira el niño aquí disfrazao .
1219,False,childes,Spain,Spain,INV-DZIZ,yo tampoco nunca [/] nunca eh (.) nisiquiera soñé yo con ellos .
1221,False,childes,Spain,Spain,INV-DZIZ,con el del mar .
1223,False,childes,Spain,Spain,INV-DZIZ,y en ésas dos (.) qué pasaba ?
1227,False,childes,Spain,Spain,INV-DZIZ,un doctor ?
1231,False,childes,Spain,Spain,INV-DZIZ,no tienes miedo ?
1261,False,childes,Spain,Spain,INV-DZIZ,sí pollitos qué guapos (.) y esto (.) y qué hace aquí la gallina (.) mira .
1285,False,childes,Spain,Spain,INV-DZIZ,esto qué es ?
1287,False,childes,Spain,Spain,INV-DZIZ,claro .
1291,False,childes,Spain,Spain,INV-DZIZ,qué hace el gato con los ratones ?
1300,False,childes,Spain,Spain,INV-DZIZ,vale éste es muy guapo eh ?
1301,False,childes,Spain,Spain,INV-DZIZ,son los dos muy guapos .
1305,False,childes,Spain,Spain,INV-DZIZ,bueno (.) te dejo sentarte aquí (.) mira que tienes ahí el otro libro (.) así tienes los dos .
1306,False,childes,Spain,Spain,INV-DZIZ,a_ver tú cuéntame lo que quieras .
1307,False,childes,Spain,Spain,INV-DZIZ,yo tampoco sé eh ?
1310,False,childes,Spain,Spain,INV-DZIZ,por qué estaría enfadao ?
1316,False,childes,Spain,Spain,INV-DZIZ,jo (.) que estará pasando (.) oh (.) más todavía (.) ahora qué hace ?
1317,False,childes,Spain,Spain,INV-DZIZ,por qué se reirá (.) este niño es tonto no ?
1324,False,childes,Spain,Spain,INV-DZIZ,ahora de repente dónde está ?
1326,False,childes,Spain,Spain,INV-DZIZ,qué le dijo al niño ?
1332,False,childes,Spain,Spain,INV-DZIZ,pues que sea amigo de todos no ?
1333,False,childes,Spain,Spain,INV-DZIZ,claro porque este niño debía ser malo yo creo .
1340,False,childes,Spain,Spain,INV-DZIZ,claro .
1341,False,childes,Spain,Spain,INV-DZIZ,sí [/] sí ya se las veo .
1342,False,childes,Spain,Spain,INV-DZIZ,claro no puede (.) la verdad es que es mucho más grande la bestia .
1344,False,childes,Spain,Spain,INV-DZIZ,sí (.) sí .
1348,False,childes,Spain,Spain,INV-DZIZ,ah (.) oye cuántas pesadillas tienes no ?
1351,False,childes,Spain,Spain,INV-DZIZ,qué pasaba en ella ?
1360,False,childes,Spain,Spain,INV-DZIZ,quién ataca a los monos ?
1364,False,childes,Spain,Spain,INV-DZIZ,apareció quién ?
1365,False,childes,Spain,Spain,INV-DZIZ,a otra ciudad .
1366,False,childes,Spain,Spain,INV-DZIZ,sí (.) sí tienes razón .
1370,False,childes,Spain,Spain,INV-DZIZ,anda (.) a que no sabes lo qué es esto ?
1378,False,childes,Spain,Spain,INV-DZIZ,el calcetín ?
1390,False,childes,Spain,Spain,INV-DZIZ,creo que está aquí vamos a_ver (.) la gallina no no ?
1393,False,childes,Spain,Spain,INV-DZIZ,los pollitos ?
1399,False,childes,Spain,Spain,INV-DZIZ,uy (.) moscas ?
1403,False,childes,Spain,Spain,INV-DZIZ,oye qué cosa no (.) por qué será ?
1411,False,childes,Spain,Spain,INV-DZIZ,tiene esto aquí encima ?
1412,False,childes,Spain,Spain,INV-DZIZ,sí .
1416,False,childes,Spain,Spain,INV-DZIZ,madre que montón de cosas tiene tu abuelo no (.) tiene muchas .
1421,False,childes,Spain,Spain,INV-DZIZ,eran un poco ?
1428,False,childes,Spain,Spain,INV-DZIZ,y lo vistes el otro día en Pryca ?
1430,False,childes,Spain,Spain,INV-DZIZ,no había ?
1438,False,childes,Spain,Spain,INV-DZIZ,apareció el lobo (.) y qué pasó ?
1439,False,childes,Spain,Spain,INV-DZIZ,y se la comió ?
1450,False,childes,Spain,Spain,INV-DZIZ,qué pintamos ?
1459,False,childes,Spain,Spain,INV-DZIZ,vale a_ver .
1474,False,childes,Spain,Spain,INV-DZIZ,eh ?
1485,False,childes,Spain,Spain,INV-DZIZ,cómo las cuidas tú pa hacer yo lo mismo ?
1487,False,childes,Spain,Spain,INV-DZIZ,ah (.) pues menudo susto que te llevaste no (.) lloraste ?
1490,False,childes,Spain,Spain,INV-DZIZ,uf (.) pues no (.) qué número es ése ?
1493,False,childes,Spain,Spain,INV-DZIZ,vale .
1501,False,childes,Spain,Spain,INV-DZIZ,yo hago las mías ?
1503,False,childes,Spain,Spain,INV-DZIZ,uum (.) .
1504,False,childes,Spain,Spain,INV-DZIZ,esto (.) a_ver si lo adivinas .
1507,False,childes,Spain,Spain,INV-DZIZ,tú cuando vas al médico no está el médico aquí detrás ?
1508,False,childes,Spain,Spain,INV-DZIZ,no (.) pues yo sí estaba hoy el médico aquí detrás .
1509,False,childes,Spain,Spain,INV-DZIZ,y entonces pues me dijo (.) que tienes Raquel (.) y le dije (.) ay (.) es que me duele la cabeza .
1517,False,childes,Spain,Spain,INV-DZIZ,te cura (.) y con qué te cura (.) qué te da ?
1526,False,childes,Spain,Spain,INV-DZIZ,bueno !
1543,False,childes,Spain,Spain,INV-DZIZ,vale .
1549,False,childes,Spain,Spain,INV-DZIZ,tiene muchos botones ?
1551,False,childes,Spain,Spain,INV-DZIZ,lo abrí .
1557,False,childes,Spain,Spain,INV-DZIZ,y qué más te trajeron ?
1562,False,childes,Spain,Spain,INV-DZIZ,a_ver .
1565,False,childes,Spain,Spain,INV-DZIZ,jolín &=rie .
1567,False,childes,Spain,Spain,INV-DZIZ,pero (..) quién te llamó ?
1576,False,childes,Spain,Spain,INV-DZIZ,no te lo sabes ?
1597,False,childes,Spain,Spain,INV-DZIZ,vale .
1601,False,childes,Spain,Spain,INV-DZIZ,sí ?
1614,False,childes,Spain,Spain,INV-DZIZ,marca otra vez (.) a_ver .
1615,False,childes,Spain,Spain,INV-DZIZ,a_ver .
1616,False,childes,Spain,Spain,INV-DZIZ,ya me llamó (.) y era Pluto (.) no ?
1623,False,childes,Spain,Spain,INV-DZIZ,sabes quién es Minnie ?
1629,False,childes,Spain,Spain,INV-DZIZ,tú no tienes novio ?
1640,False,childes,Spain,Spain,INV-DZIZ,ah (.) no estás mala .
1641,False,childes,Spain,Spain,INV-DZIZ,no (.) esperamos aquí un poco más (.) vale ?
1645,False,childes,Spain,Spain,INV-DZIZ,poque [*] no .
1650,False,childes,Spain,Spain,INV-DZIZ,podíamos jugar a los médicos ?
1655,False,childes,Spain,Spain,INV-DZIZ,estoy mala .
1658,False,childes,Spain,Spain,INV-DZIZ,te sientas tú ?
1668,False,childes,Spain,Spain,INV-DZIZ,cuando estás malina .
1670,False,childes,Spain,Spain,INV-DZIZ,tuviste alguna vez (.) cuando fuiste al médico no te dieron jarabe ?
1672,False,childes,Spain,Spain,INV-DZIZ,qué te dieron ?
1674,False,childes,Spain,Spain,INV-DZIZ,y cómo te curan ?
1678,False,childes,Spain,Spain,INV-DZIZ,qué te pisan ?
1679,False,childes,Spain,Spain,INV-DZIZ,y no te miran con un palito así en la boca ?
1681,False,childes,Spain,Spain,INV-DZIZ,no ?
1691,False,childes,Spain,Spain,INV-DZIZ,ya me curé (.) vale .
1692,False,childes,Spain,Spain,INV-DZIZ,ay (.) ahora yo soy el médico (.) vale ?
1697,False,childes,Spain,Spain,INV-DZIZ,te duele la tripa ?
1704,False,childes,Spain,Spain,INV-DZIZ,ay (.) te lo ato mejor !
1705,False,childes,Spain,Spain,INV-DZIZ,vale .
1708,False,childes,Spain,Spain,INV-DZIZ,así ?
1716,False,childes,Spain,Spain,INV-DZIZ,me quito el reloj ?
1717,False,childes,Spain,Spain,INV-DZIZ,hala póntelo tú (.) mientras .
1731,False,childes,Spain,Spain,INV-DZIZ,está muy bueno !
1738,False,childes,Spain,Spain,INV-DZIZ,cuéntame ahora lo que hiciste en el cumpleaños de Pablo que lo quiero saber .
1741,False,childes,Spain,Spain,INV-DZIZ,vale .
1742,False,childes,Spain,Spain,INV-DZIZ,y ya estoy curada (.) no ?
1743,False,childes,Spain,Spain,INV-DZIZ,ay (.) ahora podíamos jugar a otra cosa .
1745,False,childes,Spain,Spain,INV-DZIZ,vale ?
1749,False,childes,Spain,Spain,INV-DZIZ,sí (.) está bien puesto .
1753,False,childes,Spain,Spain,INV-DZIZ,y [/] y [/] y hacemos como en la fiesta de Pablo (.) vale ?
1763,False,childes,Spain,Spain,INV-DZIZ,Pluto ?
1764,False,childes,Spain,Spain,INV-DZIZ,&hum [=! asiente] a_ver escúchame una cosa .
1780,False,childes,Spain,Spain,INV-DZIZ,0 [=! ríe] .
1782,False,childes,Spain,Spain,INV-DZIZ,a_ver (.) a qué quieres jugar ?
1783,False,childes,Spain,Spain,INV-DZIZ,ah (.) vale .
1784,False,childes,Spain,Spain,INV-DZIZ,jugamos a las mamás .
1786,False,childes,Spain,Spain,INV-DZIZ,eh ?
1796,False,childes,Spain,Spain,INV-DZIZ,aquí .
1804,False,childes,Spain,Spain,INV-DZIZ,qué le pisan ?
1811,False,childes,Spain,Spain,INV-DZIZ,la ponemos en una mano (.) vale ?
1812,False,childes,Spain,Spain,INV-DZIZ,vale .
1817,False,childes,Spain,Spain,INV-DZIZ,y quién es Yoli ?
1818,False,childes,Spain,Spain,INV-DZIZ,ah .
1820,False,childes,Spain,Spain,INV-DZIZ,como la amiga de Yoli .
